Exchange,Side,Symbol,Size,Price
NYSE,Bid,AAPL,1500,157.32
NYSE,Ask,GOOG,2600,915.71
NYSE,Ask,AAPL,1800,158.18
NASDAQ,Ask,GOOG,3800,915.25
NYSE,Bid,AAPL,2900,157.67
NYSE,Bid,GOOG,1800,915.27
NASDAQ,Ask,AAPL,2500,157.46
NYSE,Bid,AAPL,4300,156.9
IEX,Bid,GOOG,1400,914.96
NASDAQ,Bid,GOOG,4400,915.96
NYSE,Ask,AAPL,4300,156.81
NYSE,Bid,AAPL,1700,156.47
NASDAQ,Ask,GOOG,4800,915.59
NASDAQ,Ask,GOOG,4300,914.81
IEX,Bid,AAPL,2300,156.08
NASDAQ,Bid,GOOG,3800,915.57
NYSE,Bid,GOOG,2200,914.85
NYSE,Ask,AAPL,2800,155.53
NYSE,Bid,GOOG,1900,915.58
NYSE,Ask,GOOG,3400,916.33
NYSE,Bid,GOOG,1200,917.24
NYSE,Ask,AAPL,1300,156.08
NASDAQ,Bid,AAPL,1100,155.23
NYSE,Ask,GOOG,2700,916.43
NASDAQ,Bid,GOOG,1900,916.98
NYSE,Ask,AAPL,700,156.11
NYSE,Bid,GOOG,500,916.43
NYSE,Ask,AAPL,3600,155.9
NYSE,Ask,AAPL,800,155.71
NASDAQ,Bid,GOOG,1400,916.32
NYSE,Ask,AAPL,2700,155.28
IEX,Bid,AAPL,4500,154.79
NASDAQ,Bid,GOOG,4800,916.58
NYSE,Bid,AAPL,900,154.16
NASDAQ,Bid,GOOG,4900,915.87
IEX,Bid,AAPL,4500,154.36
NYSE,Bid,AAPL,100,154.95
NASDAQ,Bid,GOOG,400,915.49
NYSE,Ask,GOOG,2600,916.26
NYSE,Ask,GOOG,2100,916.95
IEX,Ask,GOOG,1200,917.89
NYSE,Bid,AAPL,1600,155.74
NASDAQ,Bid,GOOG,2600,917.39
NYSE,Bid,AAPL,800,156.09
NASDAQ,Bid,GOOG,4800,917.24
NYSE,Ask,GOOG,2200,916.71
IEX,Bid,AAPL,2500,156.8
NYSE,Ask,GOOG,2000,917.36
NYSE,Ask,AAPL,1400,156.41
NYSE,Bid,GOOG,4200,917.84
NASDAQ,Bid,AAPL,1300,156.46
NYSE,Ask,GOOG,600,918.77
NYSE,Bid,AAPL,2300,156.22
NYSE,Bid,GOOG,1900,919.44
IEX,Bid,AAPL,800,155.84
NASDAQ,Bid,GOOG,3200,919.66
NYSE,Bid,AAPL,1200,156.47
NYSE,Ask,AAPL,4500,157.07
NASDAQ,Ask,AAPL,1600,156.65
NYSE,Bid,GOOG,3000,920.05
NYSE,Bid,AAPL,4300,157.18
NYSE,Bid,GOOG,1500,919.71
NASDAQ,Ask,GOOG,500,919.55
NYSE,Ask,GOOG,3800,920.36
NYSE,Bid,GOOG,4300,919.51
NASDAQ,Bid,AAPL,700,156.79
NYSE,Ask,GOOG,2900,919.67
NYSE,Ask,AAPL,900,156.89
NASDAQ,Ask,GOOG,1200,918.78
NYSE,Ask,AAPL,3100,155.92
NYSE,Bid,GOOG,200,918.02
NYSE,Ask,AAPL,100,155.02
NYSE,Bid,GOOG,2700,918.67
NASDAQ,Bid,AAPL,4100,154.94
IEX,Ask,AAPL,5000,154.12
NYSE,Ask,GOOG,4700,919.52
NASDAQ,Bid,GOOG,3200,920.32
NASDAQ,Ask,AAPL,3600,154.87
NASDAQ,Bid,GOOG,1300,919.53
NYSE,Bid,GOOG,500,918.75
NASDAQ,Bid,AAPL,2400,154.59
NYSE,Ask,AAPL,700,153.79
IEX,Bid,GOOG,4900,919.72
NYSE,Bid,GOOG,3600,918.9
NASDAQ,Bid,AAPL,2200,154.52
NYSE,Ask,GOOG,2400,919.66
NASDAQ,Ask,GOOG,2700,919.49
NYSE,Ask,AAPL,3900,153.85
NASDAQ,Bid,AAPL,300,153
IEX,Ask,GOOG,3500,919.93
NYSE,Ask,AAPL,1600,152.01
NYSE,Bid,AAPL,2400,151.9
NASDAQ,Bid,GOOG,2400,919.48
NASDAQ,Ask,GOOG,3000,920.12
NYSE,Bid,GOOG,4200,919.37
NYSE,Ask,AAPL,200,151.53
NASDAQ,Bid,AAPL,2600,151.96
NYSE,Ask,GOOG,4200,918.64
NYSE,Bid,AAPL,600,152.22
NYSE,Bid,AAPL,4500,152.84
NASDAQ,Bid,GOOG,2700,918.91
NYSE,Ask,AAPL,4000,152.77
NYSE,Ask,GOOG,1300,919.64
NYSE,Bid,AAPL,1100,153.77
IEX,Bid,AAPL,3200,153.33
NYSE,Ask,GOOG,3200,919.95
NYSE,Bid,GOOG,100,920.82
NYSE,Ask,AAPL,1600,152.99
NYSE,Ask,AAPL,3100,152.72
IEX,Bid,AAPL,3900,152.16
NYSE,Bid,GOOG,2900,920.79
NYSE,Bid,AAPL,3800,152.99
NASDAQ,Bid,AAPL,4700,153.02
NYSE,Ask,GOOG,2300,920.18
IEX,Ask,GOOG,2500,920.49
IEX,Ask,AAPL,4300,152.13
NYSE,Ask,GOOG,4000,920.34
NYSE,Bid,AAPL,1600,151.8
NASDAQ,Bid,AAPL,5000,151.6
NYSE,Bid,GOOG,800,921.16
NYSE,Bid,AAPL,3400,151.36
NYSE,Bid,GOOG,2300,920.92
NYSE,Ask,AAPL,1100,151.79
IEX,Bid,GOOG,4800,921.66
NYSE,Bid,GOOG,3500,920.84
NASDAQ,Ask,AAPL,2700,151.47
NASDAQ,Ask,GOOG,3400,920.37
NYSE,Ask,AAPL,900,150.99
NASDAQ,Ask,GOOG,4200,920.34
NYSE,Ask,GOOG,4900,921.21
NYSE,Bid,AAPL,4900,151.13
NYSE,Bid,GOOG,3500,920.59
NASDAQ,Bid,GOOG,3300,920
NASDAQ,Ask,AAPL,2800,151.76
NYSE,Ask,GOOG,5000,919.12
NYSE,Bid,GOOG,1600,918.44
IEX,Bid,AAPL,600,152.61
NYSE,Ask,GOOG,100,918.65
NYSE,Bid,GOOG,1500,918.84
IEX,Ask,AAPL,700,152.08
IEX,Ask,AAPL,2300,152.03
NYSE,Bid,GOOG,2600,918.21
NASDAQ,Bid,GOOG,2300,918.23
IEX,Bid,AAPL,1200,152.07
NYSE,Bid,GOOG,900,918.58
IEX,Ask,AAPL,1400,151.41
NYSE,Bid,AAPL,3900,151.37
NASDAQ,Bid,GOOG,2600,919.51
NYSE,Ask,AAPL,1200,151.15
NYSE,Bid,GOOG,2500,919.18
NASDAQ,Bid,GOOG,4900,918.32
IEX,Bid,AAPL,2400,151
NYSE,Ask,AAPL,1100,150.37
NASDAQ,Bid,AAPL,600,149.73
IEX,Ask,GOOG,4500,919.15
NASDAQ,Ask,GOOG,900,920.11
NASDAQ,Bid,AAPL,1000,150.58
NYSE,Bid,GOOG,1400,920.31
NYSE,Ask,GOOG,1200,919.9
NYSE,Bid,AAPL,4300,150.58
IEX,Ask,AAPL,2500,150.77
NASDAQ,Ask,GOOG,4600,919.43
NYSE,Bid,GOOG,200,919.39
IEX,Bid,AAPL,3900,150.59
NYSE,Bid,AAPL,1300,150.47
NYSE,Bid,GOOG,3000,920.33
NYSE,Ask,AAPL,3600,150.78
IEX,Bid,GOOG,1500,920.39
NASDAQ,Bid,AAPL,500,151.72
NYSE,Bid,AAPL,2900,152.36
NYSE,Bid,GOOG,900,919.66
IEX,Ask,AAPL,700,152.68
IEX,Bid,GOOG,1700,919.93
NASDAQ,Bid,AAPL,3600,152.72
NASDAQ,Bid,GOOG,4600,920
NYSE,Bid,GOOG,3900,919.17
NYSE,Ask,AAPL,2300,152.8
NYSE,Ask,GOOG,1100,918.66
NYSE,Ask,AAPL,4500,152.75
NYSE,Ask,AAPL,3200,153.55
NYSE,Bid,AAPL,2400,153.52
NASDAQ,Bid,GOOG,4200,918.76
NASDAQ,Bid,AAPL,2800,154.22
IEX,Bid,GOOG,2300,918.61
NYSE,Bid,AAPL,900,154.36
NYSE,Bid,GOOG,1900,917.87
NYSE,Ask,GOOG,3800,917.97
NYSE,Ask,AAPL,4100,154.15
NASDAQ,Ask,AAPL,4200,154.42
NASDAQ,Ask,AAPL,3500,154.35
NYSE,Bid,GOOG,3000,917.49
NYSE,Bid,AAPL,200,154.88
NASDAQ,Ask,GOOG,200,916.92
NYSE,Bid,AAPL,3400,155.23
NYSE,Bid,GOOG,1300,917.76
NYSE,Bid,AAPL,300,156.09
NASDAQ,Ask,GOOG,2500,917.8
NYSE,Ask,AAPL,2300,156.52
IEX,Ask,AAPL,3600,156
NASDAQ,Bid,GOOG,1800,918.72
NYSE,Bid,GOOG,3200,919.02
IEX,Ask,GOOG,3600,918.93
IEX,Bid,AAPL,4500,156.46
NYSE,Bid,GOOG,3100,918.2
NYSE,Bid,GOOG,3600,918.28
NYSE,Bid,AAPL,4300,156.72
NASDAQ,Ask,GOOG,1900,918.28
NASDAQ,Bid,AAPL,1000,156.6
NYSE,Bid,AAPL,4600,156.3
NYSE,Bid,GOOG,4100,918.2
NYSE,Bid,AAPL,1700,156.98
NASDAQ,Bid,GOOG,1600,917.83
NYSE,Ask,AAPL,3500,156.18
NYSE,Bid,GOOG,1000,917.81
NYSE,Bid,AAPL,1100,155.82
IEX,Ask,GOOG,2100,917.13
NASDAQ,Ask,AAPL,1300,155.05
NYSE,Bid,GOOG,4400,917.01
NASDAQ,Bid,AAPL,2000,155.5
IEX,Ask,GOOG,1500,916.72
NYSE,Bid,GOOG,4200,917.59
NASDAQ,Ask,GOOG,3500,916.91
NYSE,Ask,AAPL,3100,154.67
NYSE,Ask,AAPL,4200,155.31
IEX,Bid,GOOG,100,917.06
NASDAQ,Ask,AAPL,4600,154.73
NYSE,Bid,AAPL,2200,154.82
NYSE,Bid,GOOG,3800,917.13
NASDAQ,Bid,AAPL,4300,154.82
NYSE,Bid,GOOG,4200,918.13
NASDAQ,Ask,GOOG,2200,917.66
NYSE,Bid,GOOG,2100,918.15
NYSE,Ask,AAPL,4700,155.49
IEX,Ask,AAPL,700,155.71
NYSE,Bid,GOOG,1500,919.1
NYSE,Ask,AAPL,3300,155.19
NASDAQ,Ask,GOOG,2600,918.93
NASDAQ,Ask,AAPL,3000,154.7
NASDAQ,Bid,GOOG,800,918.9
NYSE,Ask,AAPL,1400,154.78
IEX,Ask,GOOG,2300,919.35
NYSE,Bid,AAPL,1200,154.92
NYSE,Ask,GOOG,400,919.68
NYSE,Ask,AAPL,2700,154.17
NYSE,Ask,GOOG,1500,919.84
NYSE,Bid,AAPL,800,154.27
NYSE,Bid,GOOG,600,919.39
NYSE,Ask,AAPL,4100,154.16
NASDAQ,Ask,AAPL,2500,155.06
NYSE,Ask,AAPL,2000,154.91
NYSE,Ask,GOOG,2400,918.68
NASDAQ,Ask,AAPL,3500,155.9
NYSE,Ask,GOOG,1100,918.47
NYSE,Ask,AAPL,3000,156.31
NYSE,Ask,GOOG,4800,919.14
NYSE,Ask,GOOG,2100,919.35
NYSE,Ask,AAPL,3400,156.8
NYSE,Bid,AAPL,4900,156.22
NYSE,Bid,GOOG,4000,918.6
NYSE,Ask,AAPL,4500,155.91
NYSE,Ask,GOOG,200,918.08
IEX,Bid,AAPL,2700,155.29
NASDAQ,Bid,GOOG,1500,918.35
NASDAQ,Bid,AAPL,4600,155.43
NYSE,Ask,AAPL,1300,156.3
IEX,Ask,AAPL,3300,156.01
IEX,Ask,GOOG,500,918.84
NYSE,Ask,AAPL,5000,155.31
NASDAQ,Ask,GOOG,700,919.69
NASDAQ,Bid,AAPL,1600,155.1
IEX,Bid,AAPL,3800,154.93
NYSE,Ask,GOOG,1400,920.55
NASDAQ,Ask,GOOG,600,920.8
NYSE,Bid,AAPL,200,154.57
IEX,Bid,AAPL,4200,154.75
NYSE,Ask,GOOG,4800,921.1
NASDAQ,Ask,AAPL,200,154.41
NYSE,Ask,GOOG,2800,920.79
NYSE,Ask,GOOG,1200,921.65
IEX,Ask,GOOG,2000,921.12
IEX,Bid,AAPL,1000,155.41
NYSE,Bid,AAPL,4500,155.51
NYSE,Bid,GOOG,1000,921.23
NYSE,Bid,AAPL,1900,156.43
NYSE,Ask,GOOG,3300,921.87
IEX,Ask,AAPL,4700,155.98
NYSE,Bid,GOOG,4200,920.91
NYSE,Bid,GOOG,1300,920.14
NYSE,Bid,AAPL,4000,155.35
NASDAQ,Ask,GOOG,5000,919.53
IEX,Ask,AAPL,3800,155.71
NYSE,Ask,GOOG,1300,920.03
NASDAQ,Ask,AAPL,2300,155.54
IEX,Bid,GOOG,1700,919.54
NYSE,Bid,AAPL,3700,154.58
NYSE,Ask,GOOG,400,920.27
NYSE,Ask,GOOG,3200,920.69
NYSE,Ask,AAPL,3200,154.96
IEX,Bid,AAPL,2400,155.12
NYSE,Bid,GOOG,1800,920.74
NASDAQ,Bid,AAPL,300,154.72
NASDAQ,Bid,GOOG,2500,921.25
NYSE,Bid,AAPL,4800,155.53
NYSE,Bid,AAPL,3000,154.66
NYSE,Bid,GOOG,3300,922.23
IEX,Ask,AAPL,1400,155.06
NYSE,Ask,GOOG,1500,922.5
IEX,Bid,AAPL,2300,155.26
NYSE,Bid,GOOG,3000,922.86
NYSE,Bid,AAPL,4700,154.66
NYSE,Ask,GOOG,5000,923.42
NASDAQ,Bid,AAPL,1600,154.37
NYSE,Ask,AAPL,1100,154.82
NYSE,Ask,GOOG,400,922.82
IEX,Ask,AAPL,5000,155.23
IEX,Bid,GOOG,4500,923.32
NYSE,Ask,GOOG,1700,922.76
IEX,Bid,GOOG,1700,922.15
NASDAQ,Bid,AAPL,3300,154.62
NASDAQ,Ask,GOOG,3700,921.95
IEX,Bid,AAPL,900,154.59
NASDAQ,Ask,GOOG,200,921.69
NYSE,Ask,AAPL,2200,154.68
NYSE,Ask,AAPL,1200,154.34
NYSE,Bid,AAPL,2000,154.29
NYSE,Ask,GOOG,2500,921.39
NYSE,Ask,AAPL,1300,153.92
IEX,Bid,GOOG,4800,921.96
NYSE,Ask,AAPL,3300,154.73
NYSE,Bid,GOOG,1700,922.84
NYSE,Ask,GOOG,800,922.58
NYSE,Ask,AAPL,4800,154.26
NASDAQ,Bid,AAPL,4200,154.81
NASDAQ,Bid,AAPL,400,155.19
NASDAQ,Bid,GOOG,2600,922.52
NYSE,Ask,AAPL,1900,156.03
NYSE,Bid,AAPL,4000,156.15
NYSE,Bid,GOOG,2800,923.17
IEX,Bid,AAPL,2200,156.46
NYSE,Ask,GOOG,200,923.42
NYSE,Bid,AAPL,2900,156.49
NYSE,Bid,GOOG,3900,923.99
NYSE,Bid,GOOG,4800,924.22
NASDAQ,Ask,GOOG,2100,923.77
NASDAQ,Bid,AAPL,4400,156.47
NYSE,Bid,AAPL,4500,156.73
IEX,Ask,GOOG,3900,923.16
NASDAQ,Ask,GOOG,4500,924.1
NASDAQ,Ask,AAPL,700,156.36
NYSE,Bid,GOOG,2800,923.71
NASDAQ,Ask,GOOG,600,924.3
IEX,Bid,AAPL,300,157.32
NYSE,Bid,AAPL,2300,157.23
NASDAQ,Ask,GOOG,3500,925.23
NYSE,Bid,AAPL,200,156.23
IEX,Ask,AAPL,3100,156.28
NYSE,Bid,GOOG,3700,925.17
NYSE,Bid,AAPL,4900,156.55
NYSE,Ask,GOOG,2700,925.83
NYSE,Bid,AAPL,100,155.74
NYSE,Ask,AAPL,2100,155.5
IEX,Ask,GOOG,2600,926.18
NASDAQ,Ask,AAPL,1000,154.67
NYSE,Ask,GOOG,4400,927.05
NASDAQ,Bid,AAPL,4500,155.34
NYSE,Ask,GOOG,4500,926.19
NYSE,Ask,GOOG,1400,926.92
NYSE,Ask,GOOG,900,927.01
NYSE,Ask,AAPL,4500,156.18
NYSE,Bid,GOOG,1500,926.08
NYSE,Bid,GOOG,3200,925.71
NASDAQ,Ask,AAPL,2200,157
NYSE,Ask,AAPL,4100,156.75
IEX,Bid,GOOG,3400,926.12
NASDAQ,Ask,GOOG,5000,926.2
NASDAQ,Bid,GOOG,2200,926.72
NYSE,Bid,AAPL,1900,157.29
NASDAQ,Ask,AAPL,900,158.08
NYSE,Bid,GOOG,3300,926.15
IEX,Ask,AAPL,700,157.21
NYSE,Bid,GOOG,400,926.45
NYSE,Ask,GOOG,4100,926.76
NYSE,Bid,AAPL,1200,158.19
NASDAQ,Bid,AAPL,800,157.98
NYSE,Bid,GOOG,1300,926.4
NYSE,Bid,GOOG,2300,927.36
NYSE,Bid,GOOG,2100,927.38
IEX,Bid,AAPL,1700,157.26
IEX,Ask,GOOG,4000,928.21
NASDAQ,Ask,AAPL,1900,156.33
NYSE,Bid,AAPL,1700,155.85
NYSE,Bid,AAPL,3800,155.86
NYSE,Ask,GOOG,2000,928.22
NASDAQ,Bid,GOOG,4300,929.08
IEX,Ask,AAPL,1300,156.12
NYSE,Ask,AAPL,800,155.38
NYSE,Ask,AAPL,700,155.08
NASDAQ,Ask,GOOG,200,928.31
IEX,Bid,AAPL,3700,155.18
IEX,Bid,GOOG,2700,928.41
NYSE,Bid,GOOG,1400,929.36
NYSE,Ask,AAPL,700,155.97
NYSE,Bid,AAPL,1900,156.13
NASDAQ,Bid,GOOG,4800,929.39
NASDAQ,Bid,GOOG,2200,928.56
NASDAQ,Ask,GOOG,700,928.16
NASDAQ,Bid,GOOG,3800,928.33
IEX,Ask,AAPL,1200,156.13
NYSE,Ask,GOOG,400,927.97
NYSE,Ask,AAPL,3700,155.7
NYSE,Ask,AAPL,2300,155.64
NYSE,Bid,GOOG,4600,928.27
IEX,Ask,GOOG,2500,928.46
IEX,Bid,GOOG,1600,928.61
NYSE,Ask,GOOG,2800,928.96
NYSE,Ask,AAPL,700,155.87
NYSE,Bid,AAPL,3200,155.14
NYSE,Bid,AAPL,4900,155.99
IEX,Ask,GOOG,4000,928.22
IEX,Ask,GOOG,4800,927.81
NASDAQ,Bid,AAPL,4200,156.04
NYSE,Ask,AAPL,2700,156.4
NASDAQ,Ask,GOOG,4000,927.22
NYSE,Bid,GOOG,3900,927.08
NASDAQ,Ask,AAPL,1400,156.98
NASDAQ,Ask,AAPL,2400,156.28
NYSE,Bid,AAPL,300,156.72
IEX,Bid,GOOG,3000,926.49
NASDAQ,Ask,GOOG,3000,925.95
NYSE,Bid,AAPL,1400,157.16
IEX,Bid,GOOG,1300,925.3
NASDAQ,Ask,AAPL,3100,156.54
NASDAQ,Ask,AAPL,1400,156.63
IEX,Bid,GOOG,3800,925.73
NASDAQ,Bid,GOOG,3400,926.55
NASDAQ,Bid,AAPL,1000,157.27
NYSE,Bid,GOOG,3400,925.75
NASDAQ,Bid,GOOG,2100,926.47
NYSE,Bid,AAPL,1600,157.92
NASDAQ,Ask,GOOG,2300,925.72
IEX,Bid,GOOG,700,926.01
NYSE,Ask,AAPL,300,157.85
NYSE,Ask,GOOG,2800,925.6
NYSE,Bid,AAPL,3000,157.57
NASDAQ,Ask,GOOG,4400,925.4
NASDAQ,Ask,AAPL,2500,157.51
NYSE,Ask,GOOG,100,925.83
NASDAQ,Ask,AAPL,4400,157.33
NYSE,Bid,GOOG,3800,925.64
NASDAQ,Bid,GOOG,4600,926.45
IEX,Ask,AAPL,4700,157.94
IEX,Bid,AAPL,400,157.19
IEX,Bid,GOOG,1800,927.35
NYSE,Bid,AAPL,4500,156.24
NYSE,Bid,GOOG,100,928.31
NYSE,Bid,GOOG,1700,927.37
NASDAQ,Ask,AAPL,2300,155.69
NYSE,Ask,GOOG,100,927.92
NASDAQ,Bid,AAPL,600,154.77
NYSE,Bid,AAPL,1700,155.11
NASDAQ,Bid,GOOG,2300,927.96
NYSE,Bid,AAPL,3600,155.82
NYSE,Bid,GOOG,4100,928.22
IEX,Ask,AAPL,3200,155.18
NYSE,Bid,AAPL,4100,154.95
IEX,Ask,GOOG,3800,928.6
NASDAQ,Bid,GOOG,4200,929.26
IEX,Ask,AAPL,2400,155.37
IEX,Ask,AAPL,500,155.03
NASDAQ,Ask,AAPL,2800,154.25
IEX,Ask,GOOG,3200,928.95
NYSE,Ask,AAPL,1900,153.39
NASDAQ,Bid,GOOG,2500,928.03
NYSE,Ask,AAPL,300,154.36
NASDAQ,Ask,AAPL,3600,154.31
NYSE,Bid,GOOG,4600,927.5
NYSE,Ask,AAPL,700,153.76
NYSE,Ask,GOOG,1100,928.02
NASDAQ,Bid,GOOG,3300,927.56
NYSE,Ask,AAPL,4700,154.46
NYSE,Ask,GOOG,2000,926.57
NYSE,Bid,GOOG,1800,927.5
IEX,Ask,AAPL,1100,154.6
NASDAQ,Ask,AAPL,3000,154.95
NASDAQ,Ask,GOOG,4100,926.92
NASDAQ,Bid,GOOG,1600,926.04
NYSE,Ask,AAPL,3700,155.6
NYSE,Ask,GOOG,2300,926.9
NYSE,Ask,AAPL,600,155.95
IEX,Ask,GOOG,4400,927.06
NASDAQ,Bid,AAPL,2800,155.57
NASDAQ,Ask,AAPL,4400,156.35
NYSE,Ask,GOOG,4800,927.5
NASDAQ,Bid,AAPL,1100,156.32
NYSE,Bid,GOOG,2200,926.86
NASDAQ,Bid,AAPL,2600,156.3
NASDAQ,Bid,GOOG,2700,926.32
NYSE,Bid,GOOG,2000,927.32
NYSE,Bid,AAPL,4000,156.2
NYSE,Ask,AAPL,1700,155.46
NYSE,Ask,AAPL,1300,155.35
NASDAQ,Bid,GOOG,2200,927.94
NASDAQ,Ask,GOOG,2600,927.38
NASDAQ,Bid,AAPL,4900,155.04
NASDAQ,Ask,AAPL,1000,154.06
NYSE,Bid,AAPL,4100,154.83
IEX,Bid,GOOG,4900,927.93
NYSE,Ask,AAPL,1700,155.73
NYSE,Ask,GOOG,100,927.9
NASDAQ,Ask,GOOG,1000,927.86
NYSE,Bid,AAPL,3200,154.8
NASDAQ,Bid,GOOG,800,927.74
NYSE,Bid,GOOG,800,926.75
NYSE,Ask,AAPL,3500,154.55
NASDAQ,Ask,GOOG,1900,927.05
NASDAQ,Ask,AAPL,2200,153.98
IEX,Bid,GOOG,2300,927.21
NYSE,Ask,AAPL,3900,154.15
NASDAQ,Ask,AAPL,4700,154.14
NASDAQ,Bid,GOOG,3700,927.77
NYSE,Ask,AAPL,300,155.14
NYSE,Bid,GOOG,1600,928.57
IEX,Bid,AAPL,2400,155.49
NASDAQ,Bid,GOOG,5000,929.27
NYSE,Ask,GOOG,1600,928.84
IEX,Ask,AAPL,4600,156.27
NYSE,Bid,GOOG,4800,928.19
NASDAQ,Ask,AAPL,4900,156.36
NYSE,Ask,AAPL,3900,156.18
IEX,Bid,GOOG,4700,928.32
NASDAQ,Bid,GOOG,3600,928.5
NASDAQ,Ask,AAPL,1700,156.36
IEX,Ask,GOOG,3600,927.68
NASDAQ,Bid,AAPL,2400,156.07
IEX,Ask,GOOG,800,926.87
IEX,Ask,AAPL,300,156.83
NYSE,Bid,AAPL,2500,156.31
NASDAQ,Ask,GOOG,1200,927.13
NYSE,Ask,GOOG,4600,927.62
NYSE,Ask,AAPL,2500,155.34
NYSE,Bid,GOOG,1900,926.94
NYSE,Bid,AAPL,5000,155.09
NASDAQ,Bid,GOOG,1400,926.1
NASDAQ,Bid,AAPL,2800,154.29
NASDAQ,Bid,GOOG,4300,925.66
NYSE,Ask,AAPL,3500,154.29
NASDAQ,Bid,GOOG,200,924.84
NYSE,Ask,AAPL,2200,153.61
NYSE,Ask,AAPL,4000,152.85
NYSE,Bid,GOOG,5000,924.26
IEX,Bid,AAPL,2900,151.96
NYSE,Ask,GOOG,3600,924.51
NYSE,Bid,AAPL,3300,151.27
IEX,Bid,AAPL,100,151.76
NASDAQ,Ask,GOOG,4500,924.86
NYSE,Bid,AAPL,300,152.67
NASDAQ,Ask,GOOG,3400,925.51
NASDAQ,Bid,AAPL,4900,153.28
NYSE,Bid,GOOG,3100,925.19
NYSE,Ask,AAPL,1500,153.63
NYSE,Bid,GOOG,1800,925.69
NYSE,Bid,AAPL,3100,154.24
NYSE,Bid,GOOG,3500,925.84
IEX,Ask,GOOG,1900,926.27
IEX,Ask,GOOG,4400,926.14
NASDAQ,Ask,AAPL,2900,153.69
NYSE,Bid,GOOG,900,925.15
NASDAQ,Ask,AAPL,1000,153.12
NASDAQ,Ask,GOOG,4500,926.01
IEX,Bid,AAPL,2600,152.19
NYSE,Ask,GOOG,4400,926.74
NASDAQ,Bid,GOOG,1100,925.8
NASDAQ,Bid,AAPL,4400,151.57
NASDAQ,Bid,AAPL,2200,151.72
NYSE,Bid,GOOG,2100,925.34
NASDAQ,Ask,AAPL,5000,152.58
NYSE,Bid,GOOG,3500,925.95
NASDAQ,Ask,GOOG,4400,926.41
NYSE,Bid,AAPL,1500,152.46
NYSE,Ask,GOOG,2100,927.15
NASDAQ,Ask,AAPL,1700,153.36
NASDAQ,Bid,GOOG,4900,927.28
NASDAQ,Bid,AAPL,900,154.2
NYSE,Bid,GOOG,3700,927.98
IEX,Ask,AAPL,1600,154.54
IEX,Ask,GOOG,4400,927.63
NASDAQ,Bid,AAPL,4000,153.98
IEX,Ask,AAPL,4000,153.26
IEX,Ask,GOOG,3500,928.16
NYSE,Ask,AAPL,900,153.31
IEX,Bid,AAPL,3700,153.25
NASDAQ,Bid,GOOG,300,928.39
NASDAQ,Bid,AAPL,300,152.3
IEX,Ask,AAPL,3800,152.99
NYSE,Bid,GOOG,3100,927.97
NASDAQ,Ask,AAPL,2800,152.91
NASDAQ,Bid,GOOG,4300,928.38
NYSE,Bid,AAPL,1100,153.75
NASDAQ,Ask,AAPL,4300,154.44
NASDAQ,Bid,GOOG,400,927.98
NYSE,Bid,AAPL,2400,153.98
IEX,Ask,GOOG,1800,927.92
NASDAQ,Bid,AAPL,2900,153.81
NASDAQ,Ask,GOOG,100,928.72
NASDAQ,Bid,AAPL,3300,152.85
NASDAQ,Ask,AAPL,4800,152.89
IEX,Ask,GOOG,4300,928.81
NYSE,Ask,GOOG,4100,927.85
NYSE,Ask,GOOG,4000,928.39
NYSE,Ask,AAPL,1400,152.35
NYSE,Bid,GOOG,900,927.4
NYSE,Bid,GOOG,3300,926.6
NYSE,Bid,GOOG,1800,926.28
NASDAQ,Ask,GOOG,4100,926.4
NYSE,Ask,AAPL,600,152.81
NYSE,Bid,AAPL,200,153.16
NYSE,Ask,AAPL,1400,153.49
IEX,Ask,AAPL,3100,153.07
NASDAQ,Bid,GOOG,4500,925.98
NASDAQ,Ask,AAPL,500,152.43
NYSE,Ask,GOOG,4200,926.23
NASDAQ,Ask,AAPL,100,152.88
NYSE,Ask,AAPL,100,151.9
NYSE,Ask,AAPL,4100,151.89
NYSE,Ask,GOOG,500,925.24
NASDAQ,Bid,AAPL,4800,151.5
NASDAQ,Bid,AAPL,1800,150.52
IEX,Ask,AAPL,2700,151.28
NASDAQ,Bid,GOOG,2300,924.29
NYSE,Ask,GOOG,1000,924.78
NYSE,Ask,AAPL,3300,150.83
NYSE,Bid,AAPL,2500,150.87
NYSE,Ask,AAPL,4200,151.05
IEX,Ask,GOOG,3900,924.22
NYSE,Bid,AAPL,700,150.75
NASDAQ,Bid,AAPL,100,151.51
NYSE,Ask,GOOG,3300,923.79
NASDAQ,Bid,AAPL,4000,152.03
NYSE,Ask,GOOG,3800,923.4
IEX,Bid,AAPL,3800,151.03
IEX,Ask,GOOG,3600,923.07
NASDAQ,Bid,GOOG,900,922.99
NYSE,Ask,AAPL,3300,151.15
NASDAQ,Bid,GOOG,3000,922.48
NYSE,Bid,GOOG,1500,923.05
NYSE,Bid,AAPL,3400,150.4
NASDAQ,Bid,GOOG,1200,923.22
NASDAQ,Bid,AAPL,300,150.42
NASDAQ,Bid,GOOG,1800,922.53
NYSE,Bid,GOOG,1900,923.4
NYSE,Ask,GOOG,2600,924.2
IEX,Ask,AAPL,1100,150.29
NYSE,Bid,AAPL,2700,151.07
NASDAQ,Ask,GOOG,200,924.44
IEX,Bid,AAPL,1200,150.45
NYSE,Bid,AAPL,3400,150.51
NASDAQ,Bid,GOOG,1100,924.73
NYSE,Ask,GOOG,5000,925.73
